Service_Line,Passengers,Day_and_Time,Day_of_the_week
Line P,620,2023-06-19 10:00:00,Monday
Line T,1184,2023-06-19 10:00:00,Monday
Line 1,4729,2023-06-20 10:00:00,Tuesday
Line 2,0,2023-06-20 10:00:00,Tuesday
Line A,27696,2023-06-20 10:00:00,Tuesday
Line B,4316,2023-06-20 10:00:00,Tuesday
Line H,85,2023-06-20 10:00:00,Tuesday
Line J,782,2023-06-20 10:00:00,Tuesday
Line K,1228,2023-06-20 10:00:00,Tuesday
Line M,250,2023-06-20 10:00:00,Tuesday
Line O,632,2023-06-20 10:00:00,Tuesday
Line P,906,2023-06-20 10:00:00,Tuesday
Line T,1657,2023-06-20 10:00:00,Tuesday
Line 1,4799,2023-06-21 10:00:00,Wednesday
Line 2,1020,2023-06-21 10:00:00,Wednesday
Line A,24868,2023-06-21 10:00:00,Wednesday
Line B,4261,2023-06-21 10:00:00,Wednesday
Line H,102,2023-06-21 10:00:00,Wednesday
Line J,871,2023-06-21 10:00:00,Wednesday
Line K,1296,2023-06-21 10:00:00,Wednesday
Line L,226,2023-06-21 10:00:00,Wednesday
Line M,307,2023-06-21 10:00:00,Wednesday
Line O,634,2023-06-21 10:00:00,Wednesday
Line P,931,2023-06-21 10:00:00,Wednesday
Line T,2265,2023-06-21 10:00:00,Wednesday
Line 1,4574,2023-06-22 10:00:00,Thursday
Line 2,902,2023-06-22 10:00:00,Thursday
Line A,23986,2023-06-22 10:00:00,Thursday
Line B,4065,2023-06-22 10:00:00,Thursday
Line H,99,2023-06-22 10:00:00,Thursday
Line J,831,2023-06-22 10:00:00,Thursday
Line K,1228,2023-06-22 10:00:00,Thursday
Line L,272,2023-06-22 10:00:00,Thursday
Line M,314,2023-06-22 10:00:00,Thursday
Line O,615,2023-06-22 10:00:00,Thursday
Line P,801,2023-06-22 10:00:00,Thursday
Line T,2082,2023-06-22 10:00:00,Thursday
Line 1,4634,2023-06-23 10:00:00,Friday
Line 2,938,2023-06-23 10:00:00,Friday
Line A,24254,2023-06-23 10:00:00,Friday
Line B,4000,2023-06-23 10:00:00,Friday
Line H,105,2023-06-23 10:00:00,Friday
Line J,836,2023-06-23 10:00:00,Friday
Line K,1306,2023-06-23 10:00:00,Friday
Line L,256,2023-06-23 10:00:00,Friday
Line M,292,2023-06-23 10:00:00,Friday
Line O,602,2023-06-23 10:00:00,Friday
Line P,861,2023-06-23 10:00:00,Friday
Line T,1992,2023-06-23 10:00:00,Friday
Line 1,4371,2023-06-24 10:00:00,Saturday
Line 2,862,2023-06-24 10:00:00,Saturday
Line A,22891,2023-06-24 10:00:00,Saturday
Line B,4018,2023-06-24 10:00:00,Saturday
Line H,112,2023-06-24 10:00:00,Saturday
Line J,853,2023-06-24 10:00:00,Saturday
Line K,1235,2023-06-24 10:00:00,Saturday
Line L,269,2023-06-24 10:00:00,Saturday
Line M,281,2023-06-24 10:00:00,Saturday
Line O,548,2023-06-24 10:00:00,Saturday
Line P,811,2023-06-24 10:00:00,Saturday
Line T,2014,2023-06-24 10:00:00,Saturday
Line 1,2881,2023-06-25 10:00:00,Sunday
Line 2,490,2023-06-25 10:00:00,Sunday
Line A,14204,2023-06-25 10:00:00,Sunday
Line B,2639,2023-06-25 10:00:00,Sunday
Line H,101,2023-06-25 10:00:00,Sunday
Line J,780,2023-06-25 10:00:00,Sunday
Line K,1192,2023-06-25 10:00:00,Sunday
Line L,473,2023-06-25 10:00:00,Sunday
Line M,259,2023-06-25 10:00:00,Sunday
Line O,342,2023-06-25 10:00:00,Sunday
Line P,617,2023-06-25 10:00:00,Sunday
Line T,1562,2023-06-25 10:00:00,Sunday
Line 1,4171,2023-06-26 10:00:00,Monday
Line 2,969,2023-06-26 10:00:00,Monday
Line A,22959,2023-06-26 10:00:00,Monday
Line B,3693,2023-06-26 10:00:00,Monday
Line H,111,2023-06-26 10:00:00,Monday
Line J,855,2023-06-26 10:00:00,Monday
Line K,1144,2023-06-26 10:00:00,Monday
Line L,0,2023-06-26 10:00:00,Monday
Line M,241,2023-06-26 10:00:00,Monday
Line O,605,2023-06-26 10:00:00,Monday
Line P,839,2023-06-26 10:00:00,Monday
Line T,1971,2023-06-26 10:00:00,Monday
Line 1,4414,2023-06-27 10:00:00,Tuesday
Line 2,963,2023-06-27 10:00:00,Tuesday
Line A,24538,2023-06-27 10:00:00,Tuesday
Line B,3861,2023-06-27 10:00:00,Tuesday
Line H,105,2023-06-27 10:00:00,Tuesday
Line J,825,2023-06-27 10:00:00,Tuesday
Line K,1157,2023-06-27 10:00:00,Tuesday
Line L,260,2023-06-27 10:00:00,Tuesday
Line M,308,2023-06-27 10:00:00,Tuesday
Line O,516,2023-06-27 10:00:00,Tuesday
Line P,876,2023-06-27 10:00:00,Tuesday
Line T,2037,2023-06-27 10:00:00,Tuesday
Line 1,4506,2023-06-28 10:00:00,Wednesday
Line 2,961,2023-06-28 10:00:00,Wednesday
Line A,24322,2023-06-28 10:00:00,Wednesday
Line B,3958,2023-06-28 10:00:00,Wednesday
Line H,127,2023-06-28 10:00:00,Wednesday
Line J,833,2023-06-28 10:00:00,Wednesday
Line K,1182,2023-06-28 10:00:00,Wednesday
Line L,223,2023-06-28 10:00:00,Wednesday
Line M,278,2023-06-28 10:00:00,Wednesday
Line O,581,2023-06-28 10:00:00,Wednesday
Line P,889,2023-06-28 10:00:00,Wednesday
Line T,2063,2023-06-28 10:00:00,Wednesday
Line 1,4397,2023-06-29 10:00:00,Thursday
Line 2,992,2023-06-29 10:00:00,Thursday
Line A,24278,2023-06-29 10:00:00,Thursday
Line B,3840,2023-06-29 10:00:00,Thursday
Line H,118,2023-06-29 10:00:00,Thursday
Line J,840,2023-06-29 10:00:00,Thursday
Line K,1270,2023-06-29 10:00:00,Thursday
Line L,280,2023-06-29 10:00:00,Thursday
Line M,308,2023-06-29 10:00:00,Thursday
Line O,540,2023-06-29 10:00:00,Thursday
Line P,926,2023-06-29 10:00:00,Thursday
Line T,2042,2023-06-29 10:00:00,Thursday
Line 1,4620,2023-06-30 10:00:00,Friday
Line 2,1023,2023-06-30 10:00:00,Friday
Line A,25030,2023-06-30 10:00:00,Friday
Line B,4113,2023-06-30 10:00:00,Friday
Line H,132,2023-06-30 10:00:00,Friday
Line J,932,2023-06-30 10:00:00,Friday
Line K,1320,2023-06-30 10:00:00,Friday
Line L,504,2023-06-30 10:00:00,Friday
Line M,284,2023-06-30 10:00:00,Friday
Line O,564,2023-06-30 10:00:00,Friday
Line P,856,2023-06-30 10:00:00,Friday
Line T,2120,2023-06-30 10:00:00,Friday
Line 1,4523,2023-07-01 10:00:00,Saturday
Line 2,991,2023-07-01 10:00:00,Saturday
Line A,24982,2023-07-01 10:00:00,Saturday
Line B,4070,2023-07-01 10:00:00,Saturday
Line H,145,2023-07-01 10:00:00,Saturday
Line J,960,2023-07-01 10:00:00,Saturday
Line K,1483,2023-07-01 10:00:00,Saturday
Line L,402,2023-07-01 10:00:00,Saturday
Line M,321,2023-07-01 10:00:00,Saturday
Line O,531,2023-07-01 10:00:00,Saturday
Line P,877,2023-07-01 10:00:00,Saturday
Line T,2282,2023-07-01 10:00:00,Saturday
Line 1,3194,2023-07-02 10:00:00,Sunday
Line 2,488,2023-07-02 10:00:00,Sunday
Line A,17926,2023-07-02 10:00:00,Sunday
Line B,3252,2023-07-02 10:00:00,Sunday
Line H,126,2023-07-02 10:00:00,Sunday
Line J,1021,2023-07-02 10:00:00,Sunday
Line K,1684,2023-07-02 10:00:00,Sunday
Line L,751,2023-07-02 10:00:00,Sunday
Line M,343,2023-07-02 10:00:00,Sunday
Line O,391,2023-07-02 10:00:00,Sunday
Line P,960,2023-07-02 10:00:00,Sunday
Line T,1748,2023-07-02 10:00:00,Sunday
Line 1,2242,2023-07-03 10:00:00,Monday
Line 2,302,2023-07-03 10:00:00,Monday
Line A,13147,2023-07-03 10:00:00,Monday
Line B,2386,2023-07-03 10:00:00,Monday
Line H,105,2023-07-03 10:00:00,Monday
Line J,707,2023-07-03 10:00:00,Monday
Line K,1155,2023-07-03 10:00:00,Monday
Line L,587,2023-07-03 10:00:00,Monday
Line M,271,2023-07-03 10:00:00,Monday
Line O,316,2023-07-03 10:00:00,Monday
Line P,673,2023-07-03 10:00:00,Monday
Line T,1322,2023-07-03 10:00:00,Monday
Line 1,4716,2023-07-04 10:00:00,Tuesday
Line 2,1123,2023-07-04 10:00:00,Tuesday
Line A,25610,2023-07-04 10:00:00,Tuesday
Line B,3841,2023-07-04 10:00:00,Tuesday
Line H,118,2023-07-04 10:00:00,Tuesday
Line J,825,2023-07-04 10:00:00,Tuesday
Line K,1085,2023-07-04 10:00:00,Tuesday
Line M,299,2023-07-04 10:00:00,Tuesday
Line O,545,2023-07-04 10:00:00,Tuesday
Line P,832,2023-07-04 10:00:00,Tuesday
Line T,2133,2023-07-04 10:00:00,Tuesday
Line 1,4391,2023-07-05 10:00:00,Wednesday
Line 2,972,2023-07-05 10:00:00,Wednesday
Line A,24512,2023-07-05 10:00:00,Wednesday
Line B,3742,2023-07-05 10:00:00,Wednesday
Line H,107,2023-07-05 10:00:00,Wednesday
Line J,816,2023-07-05 10:00:00,Wednesday
Line K,1228,2023-07-05 10:00:00,Wednesday
Line L,183,2023-07-05 10:00:00,Wednesday
Line M,323,2023-07-05 10:00:00,Wednesday
Line O,479,2023-07-05 10:00:00,Wednesday
Line P,714,2023-07-05 10:00:00,Wednesday
Line T,2144,2023-07-05 10:00:00,Wednesday
Line 1,4477,2023-07-06 10:00:00,Thursday
Line 2,983,2023-07-06 10:00:00,Thursday
Line A,24140,2023-07-06 10:00:00,Thursday
Line B,4013,2023-07-06 10:00:00,Thursday
Line H,113,2023-07-06 10:00:00,Thursday
Line J,851,2023-07-06 10:00:00,Thursday
Line K,1115,2023-07-06 10:00:00,Thursday
Line L,230,2023-07-06 10:00:00,Thursday
Line M,289,2023-07-06 10:00:00,Thursday
Line O,534,2023-07-06 10:00:00,Thursday
Line P,724,2023-07-06 10:00:00,Thursday
Line T,2074,2023-07-06 10:00:00,Thursday
Line 1,4441,2023-07-07 10:00:00,Friday
Line 2,941,2023-07-07 10:00:00,Friday
Line A,24437,2023-07-07 10:00:00,Friday
Line B,3938,2023-07-07 10:00:00,Friday
Line H,121,2023-07-07 10:00:00,Friday
Line J,880,2023-07-07 10:00:00,Friday
Line K,1145,2023-07-07 10:00:00,Friday
Line L,191,2023-07-07 10:00:00,Friday
Line M,320,2023-07-07 10:00:00,Friday
Line O,565,2023-07-07 10:00:00,Friday
Line P,728,2023-07-07 10:00:00,Friday
Line T,2135,2023-07-07 10:00:00,Friday
Line 1,4426,2023-07-08 10:00:00,Saturday
Line 2,872,2023-07-08 10:00:00,Saturday
Line A,22921,2023-07-08 10:00:00,Saturday
Line B,4003,2023-07-08 10:00:00,Saturday
Line H,133,2023-07-08 10:00:00,Saturday
Line J,855,2023-07-08 10:00:00,Saturday
Line K,1333,2023-07-08 10:00:00,Saturday
Line L,220,2023-07-08 10:00:00,Saturday
Line M,341,2023-07-08 10:00:00,Saturday
Line O,513,2023-07-08 10:00:00,Saturday
Line P,902,2023-07-08 10:00:00,Saturday
Line T,2073,2023-07-08 10:00:00,Saturday
Line 1,2727,2023-07-09 10:00:00,Sunday
Line 2,510,2023-07-09 10:00:00,Sunday
Line A,14247,2023-07-09 10:00:00,Sunday
Line B,2745,2023-07-09 10:00:00,Sunday
Line H,105,2023-07-09 10:00:00,Sunday
Line J,748,2023-07-09 10:00:00,Sunday
Line K,1199,2023-07-09 10:00:00,Sunday
Line L,540,2023-07-09 10:00:00,Sunday
Line M,293,2023-07-09 10:00:00,Sunday
Line O,328,2023-07-09 10:00:00,Sunday
Line P,656,2023-07-09 10:00:00,Sunday
Line T,1561,2023-07-09 10:00:00,Sunday
Line 1,4350,2023-07-10 10:00:00,Monday
Line 2,1016,2023-07-10 10:00:00,Monday
Line A,24058,2023-07-10 10:00:00,Monday
Line B,3810,2023-07-10 10:00:00,Monday
Line H,122,2023-07-10 10:00:00,Monday
Line J,801,2023-07-10 10:00:00,Monday
Line K,1165,2023-07-10 10:00:00,Monday
Line M,285,2023-07-10 10:00:00,Monday
Line O,502,2023-07-10 10:00:00,Monday
Line P,688,2023-07-10 10:00:00,Monday
Line T,1973,2023-07-10 10:00:00,Monday
Line 1,4423,2023-07-11 10:00:00,Tuesday
Line 2,1027,2023-07-11 10:00:00,Tuesday
Line A,24185,2023-07-11 10:00:00,Tuesday
Line B,3809,2023-07-11 10:00:00,Tuesday
Line H,99,2023-07-11 10:00:00,Tuesday
Line J,717,2023-07-11 10:00:00,Tuesday
Line K,1108,2023-07-11 10:00:00,Tuesday
Line L,240,2023-07-11 10:00:00,Tuesday
Line M,271,2023-07-11 10:00:00,Tuesday
Line O,594,2023-07-11 10:00:00,Tuesday
Line P,754,2023-07-11 10:00:00,Tuesday
Line T,2016,2023-07-11 10:00:00,Tuesday
Line 1,4194,2023-07-12 10:00:00,Wednesday
Line 2,889,2023-07-12 10:00:00,Wednesday
Line A,23348,2023-07-12 10:00:00,Wednesday
Line B,3701,2023-07-12 10:00:00,Wednesday
Line H,106,2023-07-12 10:00:00,Wednesday
Line J,753,2023-07-12 10:00:00,Wednesday
Line K,1108,2023-07-12 10:00:00,Wednesday
Line L,117,2023-07-12 10:00:00,Wednesday
Line M,253,2023-07-12 10:00:00,Wednesday
Line O,521,2023-07-12 10:00:00,Wednesday
Line P,742,2023-07-12 10:00:00,Wednesday
Line T,2043,2023-07-12 10:00:00,Wednesday
Line 1,4292,2023-07-13 10:00:00,Thursday
Line 2,967,2023-07-13 10:00:00,Thursday
Line A,23573,2023-07-13 10:00:00,Thursday
Line B,3761,2023-07-13 10:00:00,Thursday
Line H,101,2023-07-13 10:00:00,Thursday
Line J,770,2023-07-13 10:00:00,Thursday
Line K,1050,2023-07-13 10:00:00,Thursday
Line L,200,2023-07-13 10:00:00,Thursday
Line M,270,2023-07-13 10:00:00,Thursday
Line O,541,2023-07-13 10:00:00,Thursday
Line P,713,2023-07-13 10:00:00,Thursday
Line T,2028,2023-07-13 10:00:00,Thursday
Line 1,4408,2023-07-14 10:00:00,Friday
Line 2,969,2023-07-14 10:00:00,Friday
Line A,23673,2023-07-14 10:00:00,Friday
Line B,3695,2023-07-14 10:00:00,Friday
Line H,109,2023-07-14 10:00:00,Friday
Line J,789,2023-07-14 10:00:00,Friday
Line K,1138,2023-07-14 10:00:00,Friday
Line L,156,2023-07-14 10:00:00,Friday
Line M,307,2023-07-14 10:00:00,Friday
Line O,596,2023-07-14 10:00:00,Friday
Line P,792,2023-07-14 10:00:00,Friday
Line T,1984,2023-07-14 10:00:00,Friday
Line 1,4484,2023-07-15 10:00:00,Saturday
Line 2,905,2023-07-15 10:00:00,Saturday
Line A,24005,2023-07-15 10:00:00,Saturday
Line B,4166,2023-07-15 10:00:00,Saturday
Line H,152,2023-07-15 10:00:00,Saturday
Line J,913,2023-07-15 10:00:00,Saturday
Line K,1309,2023-07-15 10:00:00,Saturday
Line L,234,2023-07-15 10:00:00,Saturday
Line M,360,2023-07-15 10:00:00,Saturday
Line O,525,2023-07-15 10:00:00,Saturday
Line P,809,2023-07-15 10:00:00,Saturday
Line T,2243,2023-07-15 10:00:00,Saturday
Line 1,2958,2023-07-16 10:00:00,Sunday
Line 2,575,2023-07-16 10:00:00,Sunday
Line A,15258,2023-07-16 10:00:00,Sunday
Line B,2877,2023-07-16 10:00:00,Sunday
Line H,110,2023-07-16 10:00:00,Sunday
Line J,875,2023-07-16 10:00:00,Sunday
Line K,1296,2023-07-16 10:00:00,Sunday
Line L,475,2023-07-16 10:00:00,Sunday
Line M,297,2023-07-16 10:00:00,Sunday
Line O,385,2023-07-16 10:00:00,Sunday
Line P,800,2023-07-16 10:00:00,Sunday
Line T,1676,2023-07-16 10:00:00,Sunday
Line 1,4489,2023-07-17 10:00:00,Monday
Line 2,1003,2023-07-17 10:00:00,Monday
Line A,24368,2023-07-17 10:00:00,Monday
Line B,3724,2023-07-17 10:00:00,Monday
Line H,105,2023-07-17 10:00:00,Monday
Line J,800,2023-07-17 10:00:00,Monday
Line K,1138,2023-07-17 10:00:00,Monday
Line M,304,2023-07-17 10:00:00,Monday
Line O,576,2023-07-17 10:00:00,Monday
Line P,713,2023-07-17 10:00:00,Monday
Line T,2190,2023-07-17 10:00:00,Monday
Line 1,4539,2023-07-18 10:00:00,Tuesday
Line 2,968,2023-07-18 10:00:00,Tuesday
Line A,24375,2023-07-18 10:00:00,Tuesday
Line B,3912,2023-07-18 10:00:00,Tuesday
Line H,110,2023-07-18 10:00:00,Tuesday
Line J,804,2023-07-18 10:00:00,Tuesday
Line K,1139,2023-07-18 10:00:00,Tuesday
Line L,163,2023-07-18 10:00:00,Tuesday
Line M,285,2023-07-18 10:00:00,Tuesday
Line O,525,2023-07-18 10:00:00,Tuesday
Line P,918,2023-07-18 10:00:00,Tuesday
Line T,2193,2023-07-18 10:00:00,Tuesday
Line 1,4464,2023-07-19 10:00:00,Wednesday
Line 2,0,2023-07-19 10:00:00,Wednesday
Line A,26558,2023-07-19 10:00:00,Wednesday
Line B,3953,2023-07-19 10:00:00,Wednesday
Line H,134,2023-07-19 10:00:00,Wednesday
Line J,785,2023-07-19 10:00:00,Wednesday
Line K,1093,2023-07-19 10:00:00,Wednesday
Line L,174,2023-07-19 10:00:00,Wednesday
Line M,296,2023-07-19 10:00:00,Wednesday
Line O,546,2023-07-19 10:00:00,Wednesday
Line P,847,2023-07-19 10:00:00,Wednesday
Line T,1718,2023-07-19 10:00:00,Wednesday
Line 1,1022,2023-07-20 10:00:00,Thursday
Line 2,356,2023-07-20 10:00:00,Thursday
Line A,13874,2023-07-20 10:00:00,Thursday
Line B,2810,2023-07-20 10:00:00,Thursday
Line H,98,2023-07-20 10:00:00,Thursday
Line J,754,2023-07-20 10:00:00,Thursday
Line K,1110,2023-07-20 10:00:00,Thursday
Line L,513,2023-07-20 10:00:00,Thursday
Line M,288,2023-07-20 10:00:00,Thursday
Line O,403,2023-07-20 10:00:00,Thursday
Line P,760,2023-07-20 10:00:00,Thursday
Line T,1644,2023-07-20 10:00:00,Thursday
Line 1,4605,2023-07-21 10:00:00,Friday
Line 2,1082,2023-07-21 10:00:00,Friday
Line A,24703,2023-07-21 10:00:00,Friday
Line B,3981,2023-07-21 10:00:00,Friday
Line H,112,2023-07-21 10:00:00,Friday
Line J,858,2023-07-21 10:00:00,Friday
Line K,1292,2023-07-21 10:00:00,Friday
Line L,259,2023-07-21 10:00:00,Friday
Line M,287,2023-07-21 10:00:00,Friday
Line O,488,2023-07-21 10:00:00,Friday
Line P,858,2023-07-21 10:00:00,Friday
Line T,2081,2023-07-21 10:00:00,Friday
Line 1,4214,2023-07-22 10:00:00,Saturday
Line 2,849,2023-07-22 10:00:00,Saturday
Line A,22583,2023-07-22 10:00:00,Saturday
Line B,4268,2023-07-22 10:00:00,Saturday
Line H,157,2023-07-22 10:00:00,Saturday
Line J,878,2023-07-22 10:00:00,Saturday
Line K,1279,2023-07-22 10:00:00,Saturday
Line L,378,2023-07-22 10:00:00,Saturday
Line M,304,2023-07-22 10:00:00,Saturday
Line O,567,2023-07-22 10:00:00,Saturday
Line P,772,2023-07-22 10:00:00,Saturday
Line T,1989,2023-07-22 10:00:00,Saturday
Line 1,2571,2023-07-23 10:00:00,Sunday
Line 2,517,2023-07-23 10:00:00,Sunday
Line A,13612,2023-07-23 10:00:00,Sunday
Line B,2696,2023-07-23 10:00:00,Sunday
Line H,87,2023-07-23 10:00:00,Sunday
Line J,727,2023-07-23 10:00:00,Sunday
Line K,1062,2023-07-23 10:00:00,Sunday
Line L,606,2023-07-23 10:00:00,Sunday
Line M,289,2023-07-23 10:00:00,Sunday
Line O,358,2023-07-23 10:00:00,Sunday
Line P,673,2023-07-23 10:00:00,Sunday
Line T,1541,2023-07-23 10:00:00,Sunday
Line 1,4589,2023-07-24 10:00:00,Monday
Line 2,1024,2023-07-24 10:00:00,Monday
Line A,24645,2023-07-24 10:00:00,Monday
Line B,3822,2023-07-24 10:00:00,Monday
Line H,109,2023-07-24 10:00:00,Monday
Line J,808,2023-07-24 10:00:00,Monday
Line K,1147,2023-07-24 10:00:00,Monday
Line M,315,2023-07-24 10:00:00,Monday
Line O,602,2023-07-24 10:00:00,Monday
Line P,775,2023-07-24 10:00:00,Monday
Line T,2109,2023-07-24 10:00:00,Monday
Line 1,4595,2023-07-25 10:00:00,Tuesday
Line 2,982,2023-07-25 10:00:00,Tuesday
Line A,24589,2023-07-25 10:00:00,Tuesday
Line B,4040,2023-07-25 10:00:00,Tuesday
Line H,101,2023-07-25 10:00:00,Tuesday
Line J,765,2023-07-25 10:00:00,Tuesday
Line K,1122,2023-07-25 10:00:00,Tuesday
Line L,175,2023-07-25 10:00:00,Tuesday
Line M,300,2023-07-25 10:00:00,Tuesday
Line O,584,2023-07-25 10:00:00,Tuesday
Line P,818,2023-07-25 10:00:00,Tuesday
Line T,2083,2023-07-25 10:00:00,Tuesday
Line 1,4300,2023-07-26 10:00:00,Wednesday
Line 2,864,2023-07-26 10:00:00,Wednesday
Line A,23313,2023-07-26 10:00:00,Wednesday
Line B,3909,2023-07-26 10:00:00,Wednesday
Line H,117,2023-07-26 10:00:00,Wednesday
Line J,699,2023-07-26 10:00:00,Wednesday
Line K,975,2023-07-26 10:00:00,Wednesday
Line L,96,2023-07-26 10:00:00,Wednesday
Line M,254,2023-07-26 10:00:00,Wednesday
Line O,543,2023-07-26 10:00:00,Wednesday
Line P,694,2023-07-26 10:00:00,Wednesday
Line T,1998,2023-07-26 10:00:00,Wednesday
Line 1,4743,2023-07-27 10:00:00,Thursday
Line 2,1036,2023-07-27 10:00:00,Thursday
Line A,24123,2023-07-27 10:00:00,Thursday
Line B,4083,2023-07-27 10:00:00,Thursday
Line H,88,2023-07-27 10:00:00,Thursday
Line J,799,2023-07-27 10:00:00,Thursday
Line K,1177,2023-07-27 10:00:00,Thursday
Line L,163,2023-07-27 10:00:00,Thursday
Line M,297,2023-07-27 10:00:00,Thursday
Line O,584,2023-07-27 10:00:00,Thursday
Line P,921,2023-07-27 10:00:00,Thursday
Line T,2071,2023-07-27 10:00:00,Thursday
Line 1,4551,2023-07-28 10:00:00,Friday
Line 2,1013,2023-07-28 10:00:00,Friday
Line A,24296,2023-07-28 10:00:00,Friday
Line B,4160,2023-07-28 10:00:00,Friday
Line H,123,2023-07-28 10:00:00,Friday
Line J,838,2023-07-28 10:00:00,Friday
Line K,1188,2023-07-28 10:00:00,Friday
Line L,216,2023-07-28 10:00:00,Friday
Line M,303,2023-07-28 10:00:00,Friday
Line O,604,2023-07-28 10:00:00,Friday
Line P,902,2023-07-28 10:00:00,Friday
Line T,2183,2023-07-28 10:00:00,Friday
Line 1,4436,2023-07-29 10:00:00,Saturday
Line 2,969,2023-07-29 10:00:00,Saturday
Line A,23615,2023-07-29 10:00:00,Saturday
Line B,4204,2023-07-29 10:00:00,Saturday
Line H,156,2023-07-29 10:00:00,Saturday
Line J,866,2023-07-29 10:00:00,Saturday
Line K,1256,2023-07-29 10:00:00,Saturday
Line L,283,2023-07-29 10:00:00,Saturday
Line M,356,2023-07-29 10:00:00,Saturday
Line O,542,2023-07-29 10:00:00,Saturday
Line P,843,2023-07-29 10:00:00,Saturday
Line T,2270,2023-07-29 10:00:00,Saturday
Line 1,2731,2023-07-30 10:00:00,Sunday
Line 2,557,2023-07-30 10:00:00,Sunday
Line A,14510,2023-07-30 10:00:00,Sunday
Line B,3012,2023-07-30 10:00:00,Sunday
Line H,122,2023-07-30 10:00:00,Sunday
Line J,795,2023-07-30 10:00:00,Sunday
Line K,1284,2023-07-30 10:00:00,Sunday
Line L,498,2023-07-30 10:00:00,Sunday
Line M,331,2023-07-30 10:00:00,Sunday
Line O,351,2023-07-30 10:00:00,Sunday
Line P,733,2023-07-30 10:00:00,Sunday
Line T,1656,2023-07-30 10:00:00,Sunday
Line 1,4613,2023-07-31 10:00:00,Monday
Line 2,1114,2023-07-31 10:00:00,Monday
Line A,25135,2023-07-31 10:00:00,Monday
Line B,4089,2023-07-31 10:00:00,Monday
Line H,98,2023-07-31 10:00:00,Monday
Line J,879,2023-07-31 10:00:00,Monday
Line K,1152,2023-07-31 10:00:00,Monday
Line L,82,2023-07-31 10:00:00,Monday
Line M,321,2023-07-31 10:00:00,Monday
Line O,569,2023-07-31 10:00:00,Monday
Line P,776,2023-07-31 10:00:00,Monday
Line T,2125,2023-07-31 10:00:00,Monday
Line 1,4829,2023-08-01 10:00:00,Tuesday
Line 2,1215,2023-08-01 10:00:00,Tuesday
Line A,26516,2023-08-01 10:00:00,Tuesday
Line B,4303,2023-08-01 10:00:00,Tuesday
Line H,96,2023-08-01 10:00:00,Tuesday
Line J,812,2023-08-01 10:00:00,Tuesday
Line K,1163,2023-08-01 10:00:00,Tuesday
Line L,163,2023-08-01 10:00:00,Tuesday
Line M,324,2023-08-01 10:00:00,Tuesday
Line O,794,2023-08-01 10:00:00,Tuesday
Line P,755,2023-08-01 10:00:00,Tuesday
Line T,2504,2023-08-01 10:00:00,Tuesday
Line 1,4827,2023-08-02 10:00:00,Wednesday
Line 2,1029,2023-08-02 10:00:00,Wednesday
Line A,26049,2023-08-02 10:00:00,Wednesday
Line B,4180,2023-08-02 10:00:00,Wednesday
Line H,111,2023-08-02 10:00:00,Wednesday
Line J,845,2023-08-02 10:00:00,Wednesday
Line K,1115,2023-08-02 10:00:00,Wednesday
Line L,216,2023-08-02 10:00:00,Wednesday
Line M,325,2023-08-02 10:00:00,Wednesday
Line O,813,2023-08-02 10:00:00,Wednesday
Line P,798,2023-08-02 10:00:00,Wednesday
Line T,2499,2023-08-02 10:00:00,Wednesday
Line 1,4738,2023-08-03 10:00:00,Thursday
Line 2,1079,2023-08-03 10:00:00,Thursday
Line A,25901,2023-08-03 10:00:00,Thursday
Line B,4287,2023-08-03 10:00:00,Thursday
Line H,129,2023-08-03 10:00:00,Thursday
Line J,764,2023-08-03 10:00:00,Thursday
Line K,1182,2023-08-03 10:00:00,Thursday
Line L,204,2023-08-03 10:00:00,Thursday
Line M,339,2023-08-03 10:00:00,Thursday
Line O,909,2023-08-03 10:00:00,Thursday
Line P,750,2023-08-03 10:00:00,Thursday
Line T,2597,2023-08-03 10:00:00,Thursday
Line 1,4874,2023-08-04 10:00:00,Friday
Line 2,1078,2023-08-04 10:00:00,Friday
Line A,27164,2023-08-04 10:00:00,Friday
Line B,4571,2023-08-04 10:00:00,Friday
Line H,114,2023-08-04 10:00:00,Friday
Line J,808,2023-08-04 10:00:00,Friday
Line K,1204,2023-08-04 10:00:00,Friday
Line L,236,2023-08-04 10:00:00,Friday
Line M,298,2023-08-04 10:00:00,Friday
Line O,881,2023-08-04 10:00:00,Friday
Line P,921,2023-08-04 10:00:00,Friday
Line T,2511,2023-08-04 10:00:00,Friday
Line 1,5104,2023-08-05 10:00:00,Saturday
Line 2,959,2023-08-05 10:00:00,Saturday
Line A,29645,2023-08-05 10:00:00,Saturday
Line B,5633,2023-08-05 10:00:00,Saturday
Line H,146,2023-08-05 10:00:00,Saturday
Line J,1065,2023-08-05 10:00:00,Saturday
Line K,1431,2023-08-05 10:00:00,Saturday
Line L,462,2023-08-05 10:00:00,Saturday
Line M,343,2023-08-05 10:00:00,Saturday
Line O,686,2023-08-05 10:00:00,Saturday
Line P,1038,2023-08-05 10:00:00,Saturday
Line T,2697,2023-08-05 10:00:00,Saturday
Line 1,2993,2023-08-06 10:00:00,Sunday
Line 2,509,2023-08-06 10:00:00,Sunday
Line A,17008,2023-08-06 10:00:00,Sunday
Line B,3439,2023-08-06 10:00:00,Sunday
Line H,97,2023-08-06 10:00:00,Sunday
Line J,896,2023-08-06 10:00:00,Sunday
